horse_no_a,horse_no_b,odds
1,2,1050.5
1,3,921.2
1,4,270.9
1,5,2064.8
1,6,325.4
1,7,3742.5
1,8,2721.8
1,9,242.4
1,10,3742.5
1,11,499.0
1,12,559.6
2,3,362.9
2,4,39.7
2,5,730.2
2,6,49.0
2,7,1931.6
2,8,1050.5
2,9,78.0
2,10,623.7
2,11,110.0
2,12,174.5
3,4,52.2
3,5,688.2
3,6,51.0
3,7,1575.8
3,8,843.4
3,9,93.8
3,10,748.5
3,11,124.7
3,12,139.2
4,5,121.4
4,6,3.3
4,7,418.7
4,8,130.4
4,9,6.2
4,10,105.9
4,11,12.5
4,12,13.7
5,6,194.4
5,7,1931.6
5,8,1301.7
5,9,187.1
5,10,1088.7
5,11,262.6
5,12,316.8
6,7,665.3
6,8,79.8
6,9,7.8
6,10,91.7
6,11,10.9
6,12,7.6
7,8,1931.6
7,9,672.8
7,10,2064.8
7,11,623.7
7,12,809.2
8,9,223.4
8,10,921.2
8,11,266.1
8,12,308.6
9,10,189.4
9,11,23.2
9,12,32.5
10,11,289.2
10,12,303.9
11,12,37.2
